# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
46.827 0.000 104.973 0.000
136.356 155.862 114.865 115.000
53.136 0.000 107.714 9.586
193.581 2.385 115.039 11.353
45.806 2.408 101.938 20.030
128.114 2.199 114.241 11.387
54.602 1.541 107.428 12.350
66.540 0.500 109.676 21.015
43.010 62.265 103.008 103.995
139.951 0.000 113.999 0.000
61.391 0.000 109.034 0.000
48.747 0.000 104.908 0.000
48.549 0.000 104.506 0.000
27.896 0.252 85.370 112.000
53.525 0.000 107.714 0.000
281.111 0.498 116.448 128.000
132.748 1.485 115.509 8.108
128.374 0.980 115.597 21.045
104.374 1.960 112.665 9.073
40.516 217.180 102.527 104.734
335.870 0.503 116.614 371.000
348.087 0.497 117.230 26.000
76.073 1.228 110.273 16.365
